Funder,Effort
EPSRC,46.47
JISC,12.66
STFC,13.25
Wellcome Trust,18.88
DIAMOND,1.63
EU,21.10
MRC,13.28
NERC,19.45
AHRC,3.00
BBSRC,4.86
ESRC,9.25
