Funder,Effort
EPSRC,46.47
JISC,13.56
STFC,15.83
Wellcome Trust,19.78
DIAMOND,1.63
EU,22.00
MRC,14.18
NERC,19.45
AHRC,3.00
BBSRC,4.86
ESRC,10.15
