Funder,Effort
EPSRC,42.07
JISC,12.06
STFC,13.25
Wellcome Trust,18.88
DIAMOND,1.63
EU,21.10
MRC,13.28
NERC,14.00
AHRC,3.00
BBSRC,4.86
ESRC,9.25
